ambito,indicador,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Huancavelica,poblacion_total_rural,368414.0,369730.0,371025.0,372271.0,373433.0,374482.0,375417.0,376258.0,377001.0,377642.0,378184.0,378646.0,379031.0,379307.0,379442.0,379410.0
Huanuco,poblacion_total_urbana,239207.0,245249.0,251242.0,257236.0,263283.0,269439.0,275743.0,282153.0,288604.0,295031.0,301369.0,307612.0,313799.0,319929.0,326000.0,332012.0
Huanuco,poblacion_total_rural,508102.0,510938.0,513317.0,515364.0,517200.0,518941.0,520587.0,522067.0,523385.0,524547.0,525563.0,526442.0,527185.0,527785.0,528234.0,528525.0
Ica,poblacion_total_urbana,543830.0,557493.0,571080.0,584518.0,597734.0,610656.0,623251.0,635549.0,647576.0,659364.0,670949.0,682322.0,693461.0,704387.0,715118.0,725674.0
Ica,poblacion_total_rural,113425.0,109483.0,105587.0,101736.0,97929.0,94166.0,90441.0,86772.0,83191.0,79723.0,76389.0,73186.0,70097.0,67120.0,64254.0,61496.0
Junin,poblacion_total_urbana,687318.0,700844.0,714392.0,727923.0,741398.0,754777.0,768009.0,781095.0,794083.0,807031.0,820011.0,833048.0,846099.0,859134.0,872123.0,885035.0
Junin,poblacion_total_rural,510989.0,509106.0,506994.0,504646.0,502057.0,499219.0,496041.0,492553.0,488920.0,485299.0,481833.0,478536.0,475308.0,472119.0,468941.0,465748.0
La Libertad,poblacion_total_urbana,1034990.0,1063539.0,1091836.0,1119953.0,1147967.0,1175959.0,1203801.0,1231389.0,1258865.0,1286383.0,1314116.0,1342101.0,1370225.0,1398439.0,1426694.0,1454939.0
La Libertad,poblacion_total_rural,484977.0,481255.0,477049.0,472439.0,467497.0,462292.0,456734.0,450824.0,444752.0,438692.0,432797.0,427080.0,421434.0,415837.0,410266.0,404701.0
Lambayeque,poblacion_total_urbana,822602.0,839082.0,854815.0,870007.0,884872.0,899630.0,914219.0,928474.0,942461.0,956256.0,969941.0,983520.0,996942.0,1010197.0,1023287.0,1036201.0
Lambayeque,poblacion_total_rural,261715.0,260163.0,258265.0,256109.0,253779.0,251352.0,248784.0,246045.0,243223.0,240399.0,237648.0,234972.0,232318.0,229685.0,227062.0,224449.0
Lima,poblacion_total_urbana,7488080.0,7640009.0,7790053.0,7937886.0,8083167.0,8225554.0,8362711.0,8494801.0,8625327.0,8757828.0,8895802.0,9039907.0,9187807.0,9338604.0,9491411.0,9645314.0
Lima,poblacion_total_rural,279793.0,273681.0,267505.0,261286.0,255041.0,248788.0,242434.0,236019.0,229695.0,223612.0,217882.0,212494.0,207342.0,202392.0,197600.0,192937.0
Loreto,poblacion_total_urbana,491060.0,505335.0,519451.0,533498.0,547564.0,561750.0,576131.0,590628.0,605103.0,619417.0,633435.0,647144.0,660621.0,673862.0,686857.0,699600.0
Loreto,poblacion_total_rural,356228.0,356855.0,357046.0,356890.0,356471.0,355868.0,355087.0,354089.0,352889.0,351501.0,349936.0,348211.0,346332.0,344298.0,342111.0,339772.0
Madre de Dios,poblacion_total_urbana,52178.0,55496.0,58936.0,62479.0,66095.0,69762.0,73467.0,77222.0,81019.0,84856.0,88730.0,92642.0,96587.0,100555.0,104531.0,108507.0
Madre de Dios,poblacion_total_rural,36840.0,36689.0,36484.0,36211.0,35867.0,35443.0,34945.0,34382.0,33772.0,33125.0,32453.0,31762.0,31052.0,30321.0,29574.0,28809.0
Moquegua,poblacion_total_urbana,112747.0,115038.0,117247.0,119398.0,121516.0,123625.0,125710.0,127752.0,129770.0,131789.0,133831.0,135904.0,137991.0,140086.0,142179.0,144260.0
Moquegua,poblacion_total_rural,39382.0,39301.0,39173.0,39009.0,38818.0,38612.0,38380.0,38119.0,37846.0,37576.0,37324.0,37091.0,36868.0,36650.0,36433.0,36217.0
Pasco,poblacion_total_urbana,138010.0,141767.0,145588.0,149465.0,153390.0,157356.0,161388.0,165486.0,169606.0,173706.0,177738.0,181691.0,185589.0,189444.0,193273.0,197089.0
Pasco,poblacion_total_rural,129276.0,128040.0,126767.0,125454.0,124101.0,122705.0,121272.0,119805.0,118307.0,116777.0,115217.0,113624.0,112002.0,110363.0,108715.0,107069.0
Piura,poblacion_total_urbana,1100551.0,1124430.0,1147552.0,1170143.0,1192439.0,1214692.0,1236811.0,1258594.0,1280128.0,1301516.0,1322882.0,1344277.0,1365623.0,1386853.0,1407897.0,1428683.0
Piura,poblacion_total_rural,508476.0,503644.0,498243.0,492427.0,486338.0,480105.0,473645.0,466908.0,460066.0,453275.0,446673.0,440274.0,433984.0,427769.0,421599.0,415446.0
