Ámbito,Indicador,Unidad,1940,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Amazonas                                          ,Población censada masculina,Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172603,,,,,,,,,,,,,,192940,,,,,,,,,,
Amazonas                                          ,Población censada femenina,Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164062,,,,,,,,,,,,,,183053,,,,,,,,,,
Amazonas                                          ,Población censada urbana,Personas,26648,,45977,,,,,,,,,,,67357,,,,,,,,,81973,,,,,,,,,,,,119517,,,,,,,,,,,,,,166003,,,,,,,,,,
Amazonas                                          ,Población censada urbana masculina,Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59635,,,,,,,,,,,,,,83318,,,,,,,,,,
Amazonas                                          ,Población censada urbana femenina,Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59882,,,,,,,,,,,,,,82685,,,,,,,,,,
Amazonas                                          ,Población censada rural,Personas,38489,,72462,,,,,,,,,,,127115,,,,,,,,,172587,,,,,,,,,,,,217148,,,,,,,,,,,,,,209990,,,,,,,,,,
Amazonas                                          ,Población censada rural femenina,Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104180,,,,,,,,,,,,,,100368,,,,,,,,,,
Amazonas                                          ,Población censada rural masculina,Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112968,,,,,,,,,,,,,,109622,,,,,,,,,,
Amazonas                                          ,Presupuesto inicial del gasto no financiero departamental del sector público,Millones de nuevos soles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.32725,214.26895,268.17377,284.16818,561.10177,675.09349,819.6269,1057.4,1293.5,,,,,,
Amazonas                                          ,Total de créditos directos de las cajas rurales,Miles de soles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,115,6,6773,9310,11122,-,-,-,5690,15139
Amazonas                                          ,Población rural masculina,Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151768,150982,149977,148787,147433,145947,144322,142550,140646,138620,136497,134283,131982,129587,127089,124497,,
Amazonas                                          ,Población urbana masculina,Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50526,53243,56032,58892,61834,64860,67976,71169,74423,77729,81060,84423,87815,91223,94640,98039,,
Amazonas                                          ,Salario nominal de obrero de servicios no gubernamentales para Lima Metropolitana,Nuevo sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas                                          ,"Salario nominal de obrero de transporte, almacenamiento y comunicaciones para Lima Metropolitana",Nuevo sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas                                          ,Salario nominal de obrero de establecimientos financieros y seguros para Lima Metropolitana,Nuevo sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
